country,region,sequence,leading_question_id,leading_question_answer_id,question,question_code,answer,answer_help_text,help_text,data_type,allow_multi_select,domain_id,next_question_id,tax_form_codes,tax_form_code_count,raw_row
US,CO,1,7,105,Colorado has a separate return for each tax type. Some businesses may be registered to collect more than one tax type and file multiple returns. Which types of tax are you registered to collect?,,Consumer use tax,Businesses that self-assess use tax on purchases in Colorado generally register to report consumer use tax.,,STRING,True,1,10,USCODR0252,1,"{""LeadingQuestionId"":7,""Country"":""US"",""Region"":""CO"",""Sequence"":1,""Question"":""Colorado has a separate return for each tax type. Some businesses may be registered to collect more than one tax type and file multiple returns.\n\nWhich types of tax are you registered to collect?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""STRING"",""AllowMultiSelect"":true,""DomainId"":1,""LeadingQuestionAnswerId"":105,""Answer"":""Consumer use tax"",""AnswerHelpText"":""Businesses that self-assess use tax on purchases in Colorado generally register to report consumer use tax."",""NextQuestionId"":10,""TaxFormCode"":""[\""USCODR0252\""]""}"
US,CO,4,10,21,Are you required to report the Colorado Retail Delivery Fee?,,Yes,,,BOOLEAN,False,1,,USCODR1786,1,"{""LeadingQuestionId"":10,""Country"":""US"",""Region"":""CO"",""Sequence"":4,""Question"":""Are you required to report the Colorado Retail Delivery Fee?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""BOOLEAN"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":21,""Answer"":""Yes"",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[\""USCODR1786\""]""}"
US,CO,4,10,22,Are you required to report the Colorado Retail Delivery Fee?,,No,,,BOOLEAN,False,1,,,0,"{""LeadingQuestionId"":10,""Country"":""US"",""Region"":""CO"",""Sequence"":4,""Question"":""Are you required to report the Colorado Retail Delivery Fee?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""BOOLEAN"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":22,""Answer"":""No"",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[]""}"
US,DC,1,49,110,,,,,,,False,1,,USDCFR800,1,"{""LeadingQuestionId"":49,""Country"":""US"",""Region"":""DC"",""Sequence"":1,""Question"":"""",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":"""",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":110,""Answer"":"""",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[\""USDCFR800\""]""}"
US,AK,1,3,7,Are you registered with the Alaska Remote Sellers Sales Tax Commission (ARSSTC)?,,Yes,,"The Alaska Remote Sellers Sales Tax Commission (ARSSTC) is a statewide administrative system that provides a single portal to remit sales tax to participating local jurisdictions in Alaska. Remote sellers don’t need to register with the tax authorities in each of those jurisdictions, but instead just need to register once with the ARSSTC.",BOOLEAN,False,1,,USAKRSR,1,"{""LeadingQuestionId"":3,""Country"":""US"",""Region"":""AK"",""Sequence"":1,""Question"":""Are you registered with the Alaska Remote Sellers Sales Tax Commission (ARSSTC)?"",""QuestionCode"":null,""HelpText"":""The Alaska Remote Sellers Sales Tax Commission (ARSSTC) is a statewide administrative system that provides a single portal to remit sales tax to participating local jurisdictions in Alaska. Remote sellers don\u2019t need to register with the tax authorities in each of those jurisdictions, but instead just need to register once with the ARSSTC."",""Standard"":false,""DataType"":""BOOLEAN"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":7,""Answer"":""Yes"",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[\""USAKRSR\""]""}"
US,AK,1,3,8,Are you registered with the Alaska Remote Sellers Sales Tax Commission (ARSSTC)?,,No,,"The Alaska Remote Sellers Sales Tax Commission (ARSSTC) is a statewide administrative system that provides a single portal to remit sales tax to participating local jurisdictions in Alaska. Remote sellers don’t need to register with the tax authorities in each of those jurisdictions, but instead just need to register once with the ARSSTC.",BOOLEAN,False,1,,USAKADAK | USAKALEKNAGIK | USAKANGOON,3,"{""LeadingQuestionId"":3,""Country"":""US"",""Region"":""AK"",""Sequence"":1,""Question"":""Are you registered with the Alaska Remote Sellers Sales Tax Commission (ARSSTC)?"",""QuestionCode"":null,""HelpText"":""The Alaska Remote Sellers Sales Tax Commission (ARSSTC) is a statewide administrative system that provides a single portal to remit sales tax to participating local jurisdictions in Alaska. Remote sellers don\u2019t need to register with the tax authorities in each of those jurisdictions, but instead just need to register once with the ARSSTC."",""Standard"":false,""DataType"":""BOOLEAN"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":8,""Answer"":""No"",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[\""USAKADAK\"",\""USAKALEKNAGIK\"",\""USAKANGOON\""]""}"
US,AR,1,47,108,,,,,,,False,1,,USARET1,1,"{""LeadingQuestionId"":47,""Country"":""US"",""Region"":""AR"",""Sequence"":1,""Question"":"""",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":"""",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":108,""Answer"":"""",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[\""USARET1\""]""}"
US,CA,1,5,11,Do you have any retail stores or other company locations in California?,,Yes,,,BOOLEAN,False,1,6,USCACDTFA401A2OUTLET,1,"{""LeadingQuestionId"":5,""Country"":""US"",""Region"":""CA"",""Sequence"":1,""Question"":""Do you have any retail stores or other company locations in California?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""BOOLEAN"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":11,""Answer"":""Yes"",""AnswerHelpText"":"""",""NextQuestionId"":6,""TaxFormCode"":""[\""USCACDTFA401A2OUTLET\""]""}"
US,CA,1,5,12,Do you have any retail stores or other company locations in California?,,No,,,BOOLEAN,False,1,6,USCACDTFA401A2,1,"{""LeadingQuestionId"":5,""Country"":""US"",""Region"":""CA"",""Sequence"":1,""Question"":""Do you have any retail stores or other company locations in California?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""BOOLEAN"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":12,""Answer"":""No"",""AnswerHelpText"":"""",""NextQuestionId"":6,""TaxFormCode"":""[\""USCACDTFA401A2\""]""}"
US,CA,2,6,13,Are you required to make prepayments in California?,,Yes,,,BOOLEAN,False,1,,USCAPREPAYMENT,1,"{""LeadingQuestionId"":6,""Country"":""US"",""Region"":""CA"",""Sequence"":2,""Question"":""Are you required to make prepayments in California?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""BOOLEAN"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":13,""Answer"":""Yes"",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[\""USCAPREPAYMENT\""]""}"
US,CA,2,6,14,Are you required to make prepayments in California?,,No,,,BOOLEAN,False,1,,,0,"{""LeadingQuestionId"":6,""Country"":""US"",""Region"":""CA"",""Sequence"":2,""Question"":""Are you required to make prepayments in California?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""BOOLEAN"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":14,""Answer"":""No"",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[]""}"
US,CT,1,48,109,,,,,,,False,1,,USCTOS114,1,"{""LeadingQuestionId"":48,""Country"":""US"",""Region"":""CT"",""Sequence"":1,""Question"":"""",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":"""",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":109,""Answer"":"""",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[\""USCTOS114\""]""}"
US,FL,1,11,23,Do you have any retail stores or other physical locations in Florida?,,Yes,,,BOOLEAN,False,1,12,,0,"{""LeadingQuestionId"":11,""Country"":""US"",""Region"":""FL"",""Sequence"":1,""Question"":""Do you have any retail stores or other physical locations in Florida?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""BOOLEAN"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":23,""Answer"":""Yes"",""AnswerHelpText"":"""",""NextQuestionId"":12,""TaxFormCode"":""[]""}"
US,FL,1,11,24,Do you have any retail stores or other physical locations in Florida?,,No,,,BOOLEAN,False,1,,USFLDR15,1,"{""LeadingQuestionId"":11,""Country"":""US"",""Region"":""FL"",""Sequence"":1,""Question"":""Do you have any retail stores or other physical locations in Florida?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""BOOLEAN"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":24,""Answer"":""No"",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[\""USFLDR15\""]""}"
US,FL,2,12,25,How do you file your returns in Florida?,,A separate return for each location,,,STRING,False,1,,USFLDR15,1,"{""LeadingQuestionId"":12,""Country"":""US"",""Region"":""FL"",""Sequence"":2,""Question"":""How do you file your returns in Florida?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""STRING"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":25,""Answer"":""A separate return for each location"",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[\""USFLDR15\""]""}"
US,FL,2,12,26,How do you file your returns in Florida?,,One consolidated return for all locations,,,STRING,False,1,,USFLDR15CS,1,"{""LeadingQuestionId"":12,""Country"":""US"",""Region"":""FL"",""Sequence"":2,""Question"":""How do you file your returns in Florida?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""STRING"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":26,""Answer"":""One consolidated return for all locations"",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[\""USFLDR15CS\""]""}"
US,GA,1,13,27,Do you have any retail stores or other physical locations in Georgia?,,Yes,,,BOOLEAN,False,1,14,,0,"{""LeadingQuestionId"":13,""Country"":""US"",""Region"":""GA"",""Sequence"":1,""Question"":""Do you have any retail stores or other physical locations in Georgia?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""BOOLEAN"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":27,""Answer"":""Yes"",""AnswerHelpText"":"""",""NextQuestionId"":14,""TaxFormCode"":""[]""}"
US,GA,1,13,28,Do you have any retail stores or other physical locations in Georgia?,,No,,,BOOLEAN,False,1,,USGAST3SALES,1,"{""LeadingQuestionId"":13,""Country"":""US"",""Region"":""GA"",""Sequence"":1,""Question"":""Do you have any retail stores or other physical locations in Georgia?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""BOOLEAN"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":28,""Answer"":""No"",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[\""USGAST3SALES\""]""}"
US,GA,2,14,29,How do you file returns in Georgia?,,One consolidated return for all locations,,,STRING,False,1,,USGAST3OUTLET,1,"{""LeadingQuestionId"":14,""Country"":""US"",""Region"":""GA"",""Sequence"":2,""Question"":""How do you file returns in Georgia?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""STRING"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":29,""Answer"":""One consolidated return for all locations"",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[\""USGAST3OUTLET\""]""}"
US,GA,2,14,30,How do you file returns in Georgia?,,A separate return for each location,,,STRING,False,1,,USGAST3SALES,1,"{""LeadingQuestionId"":14,""Country"":""US"",""Region"":""GA"",""Sequence"":2,""Question"":""How do you file returns in Georgia?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""STRING"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":30,""Answer"":""A separate return for each location"",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[\""USGAST3SALES\""]""}"
US,HI,1,15,31,How often are you required to file Hawaii returns?,,Monthly,,,STRING,False,1,,USHIG45 | USHIG49,2,"{""LeadingQuestionId"":15,""Country"":""US"",""Region"":""HI"",""Sequence"":1,""Question"":""How often are you required to file Hawaii returns?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""STRING"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":31,""Answer"":""Monthly"",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[\""USHIG45\"",\""USHIG49\""]""}"
US,HI,1,15,32,How often are you required to file Hawaii returns?,,Quarterly,,,STRING,False,1,,USHIG45 | USHIG49,2,"{""LeadingQuestionId"":15,""Country"":""US"",""Region"":""HI"",""Sequence"":1,""Question"":""How often are you required to file Hawaii returns?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""STRING"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":32,""Answer"":""Quarterly"",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[\""USHIG45\"",\""USHIG49\""]""}"
US,HI,1,15,33,How often are you required to file Hawaii returns?,,Semi-annually,,,STRING,False,1,,USHIG45 | USHIG49,2,"{""LeadingQuestionId"":15,""Country"":""US"",""Region"":""HI"",""Sequence"":1,""Question"":""How often are you required to file Hawaii returns?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""STRING"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":33,""Answer"":""Semi-annually"",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[\""USHIG45\"",\""USHIG49\""]""}"
US,HI,1,15,106,How often are you required to file Hawaii returns?,,Annually,,,STRING,False,1,,USHIG49,1,"{""LeadingQuestionId"":15,""Country"":""US"",""Region"":""HI"",""Sequence"":1,""Question"":""How often are you required to file Hawaii returns?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""STRING"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":106,""Answer"":""Annually"",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[\""USHIG49\""]""}"
US,IA,1,52,113,,,,,,,False,1,,USIA32028,1,"{""LeadingQuestionId"":52,""Country"":""US"",""Region"":""IA"",""Sequence"":1,""Question"":"""",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":"""",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":113,""Answer"":"""",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[\""USIA32028\""]""}"
US,ID,1,16,107,,,,,,,False,1,,USID850,1,"{""LeadingQuestionId"":16,""Country"":""US"",""Region"":""ID"",""Sequence"":1,""Question"":"""",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":"""",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":107,""Answer"":"""",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[\""USID850\""]""}"
US,IN,1,51,112,,,,,,,False,1,,USINST103,1,"{""LeadingQuestionId"":51,""Country"":""US"",""Region"":""IN"",""Sequence"":1,""Question"":"""",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":"""",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":112,""Answer"":"""",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[\""USINST103\""]""}"
US,IL,1,50,111,,,,,,,False,1,,USILST1,1,"{""LeadingQuestionId"":50,""Country"":""US"",""Region"":""IL"",""Sequence"":1,""Question"":"""",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":"""",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":111,""Answer"":"""",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[\""USILST1\""]""}"
US,KS,1,17,36,Kansas has a separate return for each tax type. Some businesses may be registered to collect more than one tax type and file multiple returns. Which tax types are you registered to collect?,,Retailers' compensating use tax,Out-of-state businesses generally register to collect retailers’ compensating use tax and file the CT-9U return. Your account number begins with 005 if you are registered to collect this tax.,,STRING,True,1,,USKSCT9U,1,"{""LeadingQuestionId"":17,""Country"":""US"",""Region"":""KS"",""Sequence"":1,""Question"":""Kansas has a separate return for each tax type. Some businesses may be registered to collect more than one tax type and file multiple returns.\n\nWhich tax types are you registered to collect?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""STRING"",""AllowMultiSelect"":true,""DomainId"":1,""LeadingQuestionAnswerId"":36,""Answer"":""Retailers' compensating use tax"",""AnswerHelpText"":""Out-of-state businesses generally register to collect retailers\u2019 compensating use tax and file the CT-9U return. Your account number begins with 005 if you are registered to collect this tax."",""NextQuestionId"":null,""TaxFormCode"":""[\""USKSCT9U\""]""}"
US,KS,1,17,37,Kansas has a separate return for each tax type. Some businesses may be registered to collect more than one tax type and file multiple returns. Which tax types are you registered to collect?,,Sales tax,Businesses with physical presence in Kansas generally register to collect sales tax on all sales. Your account number begins with 004 if you are registered to collect this tax.,,STRING,True,1,,USKSST36,1,"{""LeadingQuestionId"":17,""Country"":""US"",""Region"":""KS"",""Sequence"":1,""Question"":""Kansas has a separate return for each tax type. Some businesses may be registered to collect more than one tax type and file multiple returns.\n\nWhich tax types are you registered to collect?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""STRING"",""AllowMultiSelect"":true,""DomainId"":1,""LeadingQuestionAnswerId"":37,""Answer"":""Sales tax"",""AnswerHelpText"":""Businesses with physical presence in Kansas generally register to collect sales tax on all sales. Your account number begins with 004 if you are registered to collect this tax."",""NextQuestionId"":null,""TaxFormCode"":""[\""USKSST36\""]""}"
US,KS,1,17,38,Kansas has a separate return for each tax type. Some businesses may be registered to collect more than one tax type and file multiple returns. Which tax types are you registered to collect?,,Consumer use tax,Businesses that self-assess use tax on purchases in Kansas generally register to report consumer use tax. Your account number begins with 006 if you are registered to collect this tax.,,STRING,True,1,,USKSCT10U,1,"{""LeadingQuestionId"":17,""Country"":""US"",""Region"":""KS"",""Sequence"":1,""Question"":""Kansas has a separate return for each tax type. Some businesses may be registered to collect more than one tax type and file multiple returns.\n\nWhich tax types are you registered to collect?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""STRING"",""AllowMultiSelect"":true,""DomainId"":1,""LeadingQuestionAnswerId"":38,""Answer"":""Consumer use tax"",""AnswerHelpText"":""Businesses that self-assess use tax on purchases in Kansas generally register to report consumer use tax. Your account number begins with 006 if you are registered to collect this tax."",""NextQuestionId"":null,""TaxFormCode"":""[\""USKSCT10U\""]""}"
